Time,cpu_util_percent,mem_util_percent,mem_gps,mpki,net_in,net_out,disk_usage_percent
2720,20.0,91.0,0.0,0.0,37.67,30.08,16.0
2750,16.0,91.0,0.0,0.0,37.67,30.08,16.0
2760,25.0,91.0,0.0,0.0,37.67,30.08,17.0
2770,17.0,91.0,0.0,0.0,37.67,30.08,17.0
2800,24.0,87.0,0.0,0.0,33.52,25.07,3.0
2820,16.0,86.0,0.0,0.0,35.91,26.52,1.0
2840,25.0,87.0,0.0,0.0,33.52,25.07,2.0
2880,27.0,86.0,0.0,0.0,33.52,25.07,3.0
2890,5.0,91.0,0.0,0.0,22.8,18.13,1.0
2910,27.0,88.0,0.0,0.0,33.52,25.07,3.0
2970,21.0,92.0,0.0,0.0,37.67,30.08,12.0
2980,28.0,89.5,0.0,0.0,39.115,30.105,7.5
2990,25.0,89.0,0.0,0.0,35.91,26.52,2.0
3020,4.0,91.0,0.0,0.0,22.8,18.13,1.0
3050,34.5,89.0,0.0,0.0,34.725,25.795,3.0
3130,30.0,89.0,0.0,0.0,33.53,25.07,3.0
3150,4.0,91.0,0.0,0.0,22.8,18.13,1.0
3170,19.5,88.0,0.0,0.0,39.115,30.105,3.5
3200,28.0,89.0,0.0,0.0,33.53,25.07,2.0
3210,18.0,82.0,0.0,0.0,40.56,30.13,2.0
3220,4.0,91.0,0.0,0.0,22.8,18.13,1.0
3260,21.0,87.0,0.0,0.0,35.92,26.52,1.0
3270,19.0,86.0,0.0,0.0,35.92,26.52,1.0
3290,18.0,86.0,0.0,0.0,35.92,26.52,1.0
3300,25.0,84.0,0.0,0.0,40.56,30.13,3.0
3310,17.0,89.0,0.0,0.0,32.4825,24.9525,2.25
3320,19.0,86.0,0.0,0.0,35.92,26.52,2.0
3330,19.0,92.0,0.0,0.0,37.68,30.09,3.0
3340,5.0,91.0,0.0,0.0,22.8,18.13,1.0
3350,16.0,82.0,0.0,0.0,37.15,25.82,1.0
3360,19.0,87.0,0.0,0.0,35.92,26.52,2.0
3380,21.0,88.0,0.0,0.0,35.92,26.52,2.0
3390,16.0,83.0,0.0,0.0,37.15,25.82,2.0
3410,21.0,89.0,0.0,0.0,35.92,26.52,2.0
3430,27.5,88.5,0.0,0.0,34.725,25.8,2.5
3450,15.0,84.0,0.0,0.0,37.15,25.82,1.0
3510,15.0,83.0,0.0,0.0,37.15,25.83,2.0
3550,20.0,93.0,0.0,0.0,37.68,30.09,4.0
3560,15.5,86.0,0.0,0.0,36.535,26.175,1.5
3570,21.0,93.0,0.0,0.0,37.68,30.09,4.0
3680,20.0,85.0,0.0,0.0,37.16,25.83,2.0
3690,18.0,84.0,0.0,0.0,37.16,25.83,2.0
3700,5.0,91.0,0.0,0.0,22.8,18.13,1.0
3760,20.0,95.0,0.0,0.0,37.68,30.09,4.0
3780,24.0,95.0,0.0,0.0,37.68,30.09,3.0
3800,35.0,89.0,0.0,0.0,40.57,30.14,2.0
3810,25.0,91.0,0.0,0.0,35.92,26.52,1.0
3850,23.0,90.0,0.0,0.0,35.92,26.53,2.0
3860,10.5,92.0,0.0,0.0,30.24,24.11,2.0
3880,27.0,93.0,0.0,0.0,37.68,30.09,3.0
3900,25.0,92.0,0.0,0.0,35.92,26.53,2.0
3920,20.0,87.0,0.0,0.0,37.16,25.84,18.0
3950,24.0,85.0,0.0,0.0,37.16,25.84,18.0
4030,5.0,91.0,0.0,0.0,22.8,18.13,1.0
4040,20.0,89.0,0.0,0.0,35.93,26.53,1.0
4070,22.0,87.0,0.0,0.0,38.865,27.995,2.0
4080,28.0,89.0,0.0,0.0,40.57,30.14,2.0
4120,21.0,93.0,0.0,0.0,37.68,30.09,6.0
4130,17.0,85.0,0.0,0.0,37.17,25.85,2.0
4140,17.0,85.0,0.0,0.0,37.17,25.85,7.0
4160,4.0,91.0,0.0,0.0,22.8,18.13,1.0
4190,4.0,91.0,0.0,0.0,22.8,18.13,1.0
4230,24.0,92.0,0.0,0.0,37.68,30.09,3.0
4250,4.0,91.0,0.0,0.0,22.8,18.13,1.0
4260,16.0,85.5,0.0,0.0,36.55,26.19,1.5
4270,5.0,91.0,0.0,0.0,22.8,18.13,1.0
4290,22.0,87.0,0.0,0.0,40.58,30.14,3.0
4300,19.3333,87.0,0.0,0.0,38.48,28.6967,2.6667
4370,24.0,93.0,0.0,0.0,37.69,30.1,4.0
4390,23.0,86.0,0.0,0.0,40.58,30.14,2.0
4400,22.0,86.0,0.0,0.0,40.58,30.14,2.0
4410,21.0,86.0,0.0,0.0,40.58,30.14,2.0
4440,9.5,87.5,0.0,0.0,29.985,21.995,2.0
4450,15.0,83.0,0.0,0.0,37.17,25.86,3.0
4470,15.0,88.0,0.0,0.0,39.135,30.12,2.5
4480,12.0,84.0,0.0,0.0,35.93,26.53,1.0
4520,16.5,83.5,0.0,0.0,36.55,26.195,12.0
4530,4.0,91.0,0.0,0.0,22.8,18.13,1.0
4540,11.0,88.5,0.0,0.0,29.365,22.33,1.0
4550,18.0,85.0,0.0,0.0,35.93,26.53,1.0
4570,15.0,92.0,0.0,0.0,37.69,30.1,4.0
4580,25.0,85.0,0.0,0.0,40.58,30.15,3.0
4600,27.0,90.0,0.0,0.0,36.81,28.315,3.0
4640,28.0,86.0,0.0,0.0,37.18,25.87,3.0
4650,27.0,87.5,0.0,0.0,36.555,26.2,2.0
4660,31.0,89.0,0.0,0.0,40.58,30.15,3.0
4670,31.0,90.0,0.0,0.0,40.58,30.15,3.0
4690,30.0,91.0,0.0,0.0,35.93,26.53,1.0
4710,24.0,97.0,0.0,0.0,37.69,30.1,3.0
4750,5.0,91.0,0.0,0.0,22.8,18.13,1.0
4790,39.0,88.0,0.0,0.0,37.18,25.87,3.0
4800,40.0,95.0,0.0,0.0,37.69,30.1,5.0
4820,37.0,88.0,0.0,0.0,37.18,25.87,4.0
4830,40.0,92.0,0.0,0.0,36.815,28.315,4.5
4860,38.5,90.5,0.0,0.0,39.14,30.125,5.0
4870,29.0,93.0,0.0,0.0,37.69,30.1,4.0
