,cpu,cmui,amui,tpcmui,mmui,mditi,mldsui,mcui,scui
0,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
1,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
2,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
3,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
4,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
5,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
6,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
7,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
8,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
9,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
10,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
11,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
12,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
13,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
14,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
15,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
16,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
17,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
18,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
19,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
20,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
21,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
22,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
23,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
24,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
25,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
26,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
27,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
28,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
29,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
30,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
31,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
32,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
33,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
34,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
35,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
36,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
37,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
38,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
39,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
40,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
41,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
42,0.06283133,0.08844209,0.10723942,0.0101137,0.08898472,0.00082537,0.00058772,0.23933183,0.0168139
