Time,mean_cpu_usage_rate,canonical_memory_usage,assigned_memory_usage,total_page_cache_memory_usage,maximum_memory_usage,mean_disk_io_time,mean_local_disk_space_used,maximum_cpu_usage,sampled_cpu_usage
320,0.140385903,0.175912989,0.221034567,0.051286755,0.181874293,0.021462139,0.000871668,0.571463093,0.074969906
325,0.127386344,0.168948341,0.212028752,0.049159548,0.175241563,0.016768636,0.000843741,0.535195654,0.070332259
330,0.143918977,0.188075786,0.235514052,0.053882856,0.193646042,0.018115494,0.000929467,0.582150797,0.080157006
335,0.134108885,0.182551172,0.228345512,0.052446906,0.187355152,0.017793674,0.000903045,0.546555107,0.071052552
340,0.136670114,0.179830915,0.224723674,0.051841477,0.184644339,0.021494615,0.000892142,0.565928756,0.07399525
345,0.131866175,0.176447138,0.220384218,0.050729069,0.181161495,0.02519245,0.000865746,0.543083432,0.069761127
350,0.12559019,0.171259747,0.214190187,0.049683893,0.175777508,0.025842776,0.000847102,0.515590822,0.062912779
355,0.127391265,0.183830484,0.230416658,0.053844428,0.189132093,0.01993011,0.000916196,0.552696386,0.063822269
360,0.130070822,0.185321243,0.232912571,0.054802184,0.190913647,0.017627634,0.000927426,0.557839175,0.067864625
365,0.135251264,0.172831199,0.21725571,0.050823403,0.17862389,0.019505613,0.000861721,0.557783876,0.076922122
370,0.128407037,0.171297423,0.215672818,0.050568637,0.177197529,0.019477975,0.00085782,0.531012598,0.071064305
375,0.129371954,0.171377304,0.215392019,0.050135861,0.177227608,0.020677636,0.000845195,0.566068624,0.074244794
380,0.120309944,0.170803555,0.214998587,0.050125934,0.176267852,0.017931767,0.000844919,0.538259497,0.065277176
385,0.110120763,0.164484412,0.207247222,0.048421264,0.169704286,0.013415592,0.000818189,0.536589215,0.057507905
390,0.104480365,0.157242882,0.19799867,0.046446528,0.162250847,0.015290841,0.000784395,0.481763386,0.054288236
395,0.115409921,0.164658454,0.207331382,0.048747947,0.169511302,0.021989858,0.000819833,0.491670614,0.058108675
400,0.119611695,0.171580905,0.216141924,0.051207343,0.176923653,0.018479146,0.000856078,0.515404827,0.06119907
405,0.127607132,0.17718547,0.223222946,0.052694663,0.182878379,0.020916246,0.000879885,0.540799685,0.069570806
410,0.140191258,0.194933011,0.245826141,0.058040638,0.200853312,0.020140566,0.000973371,0.595269376,0.077082814
415,0.126611833,0.183105988,0.231104948,0.054879151,0.18901214,0.018200601,0.000920244,0.548964403,0.067113706
420,0.142425746,0.191962622,0.242034992,0.057436983,0.197663209,0.032350003,0.000961177,0.594259548,0.074295068
425,0.138408335,0.187942729,0.236949943,0.056207779,0.193412852,0.031175269,0.000940596,0.577102425,0.072391732
430,0.129172435,0.165443222,0.20869495,0.049377028,0.171089069,0.030923051,0.000827172,0.539409399,0.069909329
435,0.129262144,0.166796673,0.210114405,0.049734993,0.171696797,0.028765144,0.000832922,0.524113546,0.06756826
440,0.131968993,0.176378212,0.222297533,0.052578439,0.181739225,0.031512804,0.000879482,0.540170962,0.064958181
445,0.135419133,0.190487229,0.240242582,0.056738852,0.195719633,0.025179248,0.000953945,0.609716798,0.065029763
450,0.119904411,0.165320286,0.20884626,0.048901442,0.170460787,0.018603651,0.000829238,0.511150188,0.063289464
455,0.127244014,0.15823321,0.199353537,0.046529246,0.163140919,0.016386062,0.000784147,0.506327791,0.07527052
460,0.135749131,0.165650406,0.208746796,0.048515271,0.170427075,0.018923702,0.000813823,0.52634893,0.0784229
465,0.147217848,0.183031912,0.23038965,0.05372224,0.188879017,0.020149021,0.000900922,0.60283861,0.084855764
470,0.140222538,0.172948601,0.217820014,0.050572099,0.178596358,0.017291708,0.000851416,0.554158488,0.083580386
475,0.156417226,0.187079692,0.236473414,0.055712061,0.192802939,0.029052875,0.000944988,0.636016103,0.090101491
480,0.143073005,0.144557774,0.183478394,0.043695413,0.152402186,0.024936122,0.000760741,0.625736661,0.098968997
485,0.159107827,0.170935468,0.218548117,0.053341018,0.177847706,0.021560568,0.000901116,0.66853794,0.103113351
490,0.164020864,0.176549338,0.225903041,0.054706327,0.183611324,0.021818109,0.00092105,0.684254227,0.102729963
495,0.165751807,0.184206872,0.235410002,0.056836896,0.19180877,0.016644254,0.000956122,0.713899423,0.106385406
500,0.163815603,0.180351433,0.230565005,0.055269021,0.188321243,0.022428185,0.000935714,0.715709826,0.102158342
505,0.1562713,0.17584369,0.225014404,0.053850912,0.183633874,0.021084138,0.00091636,0.694881598,0.097521683
510,0.158546438,0.184061056,0.234901539,0.055933639,0.191371307,0.01758963,0.000948034,0.67186506,0.096814361
515,0.153562293,0.18196193,0.231740038,0.054873548,0.189588186,0.016167133,0.000933411,0.647238149,0.09367106
520,0.161935118,0.19071087,0.242473119,0.057325746,0.198786086,0.02171014,0.000972231,0.675085751,0.096391436
525,0.16450531,0.195154125,0.248009363,0.058818854,0.203603814,0.018668053,0.000991868,0.687234751,0.09947013
530,0.185293107,0.199680489,0.254821921,0.060826679,0.208141631,0.025546336,0.001029408,0.729376762,0.115149774
535,0.128389072,0.147693327,0.188707349,0.045847242,0.153605067,0.016808246,0.000775968,0.511989111,0.074791175
540,0.141890787,0.164587528,0.21052101,0.051035933,0.170938769,0.021536414,0.000865986,0.590158113,0.080989353
545,0.135426531,0.13253318,0.167800264,0.040642721,0.14109431,0.030737678,0.000707663,0.566968856,0.098136304
550,0.167969123,0.17032411,0.216365796,0.050720992,0.178365261,0.020071877,0.000852848,0.644988996,0.107448602
555,0.195254277,0.189152941,0.240821375,0.056957139,0.197440733,0.02589582,0.000964429,0.690205019,0.128590894
560,0.150689826,0.154633981,0.197209727,0.046937343,0.161523139,0.023733643,0.000796023,0.573969261,0.095579683
565,0.132058022,0.144541384,0.184595306,0.044151741,0.150771086,0.012466067,0.00075004,0.519788981,0.081326207
570,0.144145966,0.169696378,0.216834465,0.052168657,0.176496365,0.011334654,0.000885118,0.575565458,0.084747846
575,0.138156747,0.163612427,0.209136893,0.05015641,0.169869141,0.01258609,0.000849125,0.54357234,0.080868561
580,0.160538212,0.180844427,0.230660285,0.05546349,0.18790316,0.022462259,0.000940392,0.61068303,0.09078159
585,0.148615485,0.164804062,0.210265463,0.050727138,0.171407999,0.019697386,0.000859452,0.572650716,0.089537203
590,0.152228629,0.173951184,0.221968836,0.053421838,0.180978416,0.012725528,0.000903539,0.56616842,0.091998853
595,0.162562198,0.192984128,0.24624593,0.059463851,0.200382556,0.015403897,0.001000316,0.617034817,0.096235025
600,0.16310151,0.183512755,0.234786882,0.057049996,0.190595475,0.013214507,0.000963974,0.603078479,0.099389616
605,0.156720251,0.180338462,0.230922857,0.056293782,0.187701302,0.015211631,0.00094894,0.607194187,0.093482008
610,0.15542899,0.17225836,0.219549677,0.055847098,0.179830409,0.022531581,0.000912078,0.600757001,0.09574684
615,0.156871349,0.176084103,0.224909173,0.056861638,0.183225917,0.019554681,0.000956,0.607520584,0.094134629
620,0.157403916,0.172149752,0.220619427,0.055486414,0.179779517,0.024766433,0.000948969,0.601480081,0.090225094
625,0.159900567,0.179226468,0.229754984,0.05694311,0.186866816,0.0191482,0.000989835,0.631724987,0.093425915
630,0.144094355,0.158934079,0.203631195,0.049917745,0.166359328,0.013920255,0.000871304,0.611860623,0.08821985
635,0.153409942,0.179418863,0.229821769,0.056022456,0.186942861,0.01502989,0.000988681,0.654283948,0.090290192
640,0.110219269,0.126181574,0.16140142,0.039350654,0.132029714,0.025663575,0.00083562,0.462798567,0.069168228
645,0.153102481,0.136998529,0.17196057,0.040090617,0.147559902,0.031901566,0.000677988,0.58790923,0.104794149
650,0.200869148,0.172421404,0.215032588,0.048138239,0.182371379,0.031305257,0.000840943,0.968159991,0.138621171
655,0.187712676,0.171968201,0.214964904,0.050984423,0.181974134,0.030476306,0.00092743,0.782579148,0.125810426
660,0.187379996,0.170887716,0.21409189,0.049358471,0.179757456,0.038090796,0.00093523,0.701281838,0.127688329
665,0.16987826,0.174036437,0.217624108,0.051245183,0.183041421,0.03950019,0.000940377,0.715281527,0.10868395
670,0.159180713,0.187655971,0.234834445,0.054834974,0.196851376,0.038245765,0.001010351,0.648704893,0.094365417
