,0
0,0.05681292712688446
1,0.055187974125146866
2,0.06230993568897247
3,0.06314732134342194
4,0.06235763430595398
5,0.06252501904964447
6,0.06272563338279724
7,0.06182210519909859
8,0.055048707872629166
9,0.05582934245467186
10,0.05717828497290611
11,0.0552726648747921
12,0.05454716831445694
13,0.054198604077100754
14,0.09735523164272308
15,0.09806329011917114
16,0.09951184689998627
17,0.09838906675577164
18,0.09854207932949066
19,0.09832184761762619
20,0.07805528491735458
21,0.0755724087357521
22,0.07557244598865509
23,0.07463917136192322
24,0.074427030980587
25,0.07695463299751282
26,0.06486854702234268
27,0.0652640238404274
28,0.06490068137645721
29,0.06496331095695496
30,0.06393477320671082
31,0.06330040842294693
32,0.07971251755952835
33,0.08027689158916473
34,0.07892998307943344
35,0.08061806857585907
36,0.08277090638875961
37,0.08226318657398224
38,0.08593985438346863
39,0.09047592431306839
40,0.09012766182422638
41,0.08471420407295227
42,0.08318587392568588
43,0.08311023563146591
44,0.1421472132205963
45,0.14168797433376312
46,0.1419048011302948
47,0.1440555304288864
48,0.14291107654571533
49,0.14296764135360718
50,0.09314758330583572
51,0.09299585968255997
52,0.09298154711723328
53,0.0926702618598938
54,0.09321404248476028
55,0.0926777571439743
56,0.1030159667134285
57,0.10358581691980362
58,0.10265274345874786
59,0.10345059633255005
60,0.10328332334756851
61,0.10346591472625732
62,0.09020940959453583
63,0.09050942957401276
64,0.08908592909574509
65,0.09134145081043243
66,0.09133449196815491
67,0.09221795946359634
68,0.06911095976829529
69,0.06855610013008118
70,0.06829456984996796
71,0.06893587112426758
72,0.06894823908805847
73,0.0690230280160904
74,0.12167973816394806
75,0.12227262556552887
76,0.12104622274637222
77,0.12085019052028656
78,0.1212160736322403
79,0.12107804417610168
80,0.1159212738275528
81,0.11617225408554077
82,0.1169096976518631
83,0.118046835064888
84,0.11923687905073166
85,0.11829362064599991
86,0.17542190849781036
87,0.17533932626247406
88,0.1742645502090454
89,0.17452700436115265
90,0.1757499724626541
91,0.17610566318035126
92,0.16659529507160187
93,0.16516508162021637
94,0.1625901162624359
95,0.16236355900764465
96,0.16236214339733124
97,0.16200865805149078
98,0.09760262072086334
99,0.09841080754995346
100,0.09816867858171463
101,0.09923221915960312
102,0.09891055524349213
103,0.0988926887512207
104,0.0984400063753128
105,0.09983944147825241
106,0.09922830760478973
107,0.09873092174530029
108,0.10144833475351334
109,0.10393975675106049
110,0.13232636451721191
111,0.13006770610809326
112,0.12712249159812927
113,0.12584055960178375
114,0.12646305561065674
115,0.12682875990867615
116,0.09411559998989105
117,0.09381093084812164
118,0.09197896718978882
119,0.09226424992084503
120,0.09281055629253387
121,0.09284414350986481
122,0.0545356422662735
123,0.05532495677471161
124,0.05376184359192848
125,0.05464090406894684
126,0.05532772094011307
127,0.05504107475280762
128,0.0619884692132473
129,0.06089377403259277
130,0.059875037521123886
131,0.060185227543115616
132,0.060303814709186554
133,0.06040666997432709
134,0.05436262488365173
135,0.0551743283867836
136,0.05452490597963333
137,0.0558866411447525
138,0.0561850368976593
139,0.05420055240392685
