Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
1190,31.1822,89.2275,35.0316,27.7516,4.685
1200,30.1752,89.1262,34.995,27.7272,5.0466
1210,34.0655,89.1875,34.9559,27.6992,5.0354
1220,30.8305,89.4786,34.9743,27.7143,5.0305
1230,30.5017,89.9867,34.9716,27.7127,5.029
1240,31.4949,90.2218,34.9476,27.6687,5.0143
1250,34.1125,90.5819,34.9515,27.6711,5.012
1260,34.6956,90.5925,34.9526,27.6685,4.2374
1270,35.1027,90.4277,34.9406,27.6606,4.2121
1280,30.7924,90.1855,34.9467,27.6657,4.2362
1290,29.515,90.0988,34.9515,27.6721,4.2407
1300,28.1193,90.1339,34.9502,27.6692,4.2378
1310,28.2074,89.6457,34.9443,27.665,4.2393
1320,28.4093,88.7483,34.9624,27.6783,3.9426
1330,30.6217,88.3642,34.9471,27.6669,3.9414
1340,27.9038,88.3283,34.9612,27.6594,3.9391
1350,28.9987,88.3357,34.9515,27.6717,3.9439
1360,28.1996,88.2252,34.9692,27.6853,3.9519
1370,27.2596,88.1334,34.9615,27.6771,3.9481
1380,28.5363,88.1384,34.9739,27.6997,3.8163
1390,28.3852,88.1566,34.9463,27.666,3.7889
1400,26.8051,88.1245,34.9541,27.6742,3.7889
1410,26.1863,88.1502,34.9542,27.6743,3.7889
1420,25.1831,88.2174,34.9543,27.6744,3.7889
1430,24.5379,88.0794,34.9527,27.6727,3.7902
1440,27.514,88.0665,34.9757,27.6968,3.7355
1450,26.1895,88.0844,34.9762,27.6945,3.7319
1460,25.3208,88.0763,34.9594,27.6812,3.7247
1470,28.0068,88.5227,34.9592,27.6799,3.74
1480,27.8732,88.8031,34.9759,27.69,3.7442
1490,26.9504,88.8185,34.9672,27.6902,3.7371
1500,26.7539,88.986,34.9439,27.6672,3.7963
1510,29.9923,89.0058,34.9496,27.6747,3.8023
1520,29.0556,89.1968,34.95,27.672,3.8056
1530,29.8377,89.4704,34.9364,27.6663,3.8086
1540,28.9753,89.7108,34.9507,27.6768,3.8061
1550,29.4683,89.5109,34.952,27.6802,3.8079
1560,28.0374,89.7967,34.996,27.7238,4.1732
1570,30.4982,90.0252,35.0118,27.7388,4.1689
1580,28.6159,90.0206,35.0243,27.7524,4.173
1590,27.4003,89.8535,35.0497,27.7702,4.0827
1600,30.3459,90.0991,35.0584,27.7809,4.1111
1610,28.2527,90.0783,35.0514,27.7466,4.1298
1620,26.8975,90.0645,35.0619,27.7701,3.7003
1630,29.4786,90.2663,35.0606,27.7684,3.7014
1640,32.2772,90.5841,35.0598,27.7672,3.7016
1650,32.3178,90.4317,35.053,27.7626,3.7007
1660,31.1958,90.346,35.0604,27.7674,3.7016
1670,30.554,90.2381,35.0608,27.7675,3.7016
1680,28.3754,89.799,35.0587,27.765,4.018
1690,28.9956,88.9753,35.0385,27.7529,4.0679
1700,24.2429,88.8962,35.0689,27.7834,4.0597
1710,25.4949,88.8904,34.9772,27.6949,4.0974
1720,25.0079,89.1009,34.9949,27.7178,4.0667
1730,26.4089,89.1568,34.9889,27.7161,4.0655
1740,27.0706,89.2335,34.9742,27.7049,3.9719
1750,27.8179,89.343,34.9706,27.7001,3.9683
1760,26.3356,89.3274,34.9707,27.7002,3.9683
1770,24.9923,89.1351,34.9652,27.6946,3.9882
1780,24.6169,89.1144,34.9489,27.6905,4.0411
1790,25.9049,89.4665,34.9888,27.725,4.0232
1800,28.3846,89.6297,34.9665,27.7018,3.8815
1810,34.6901,89.466,34.9663,27.7005,3.8792
1820,27.4091,89.1338,34.9653,27.7004,3.8809
1830,26.5693,88.9457,34.9512,27.6865,3.8843
1840,29.0725,89.0416,34.9647,27.7002,3.8818
1850,28.0273,89.0482,34.9963,27.7218,3.8959
1860,26.7849,88.9212,34.9826,27.7139,4.3753
1870,27.5023,88.7609,34.988,27.7167,4.3557
1880,25.1418,88.5153,34.9416,27.6826,4.3905
1890,25.8583,88.7083,34.9856,27.7139,4.3988
1900,30.341,88.6594,34.9882,27.7212,4.3895
1910,28.1335,88.4864,34.9821,27.7147,4.3893
1920,25.6506,88.0176,34.9697,27.695,4.6141
1930,25.0523,86.9935,34.9627,27.6905,4.6183
1940,20.8056,86.3178,34.981,27.71,4.6158
1950,20.9535,86.2166,34.9797,27.7093,4.6166
1960,21.6756,86.2382,34.9798,27.7093,4.6166
1970,21.9942,86.2053,34.9577,27.6972,4.6109
1980,22.7565,86.2398,34.9441,27.6844,4.9563
1990,24.6235,86.4791,34.9493,27.6889,4.9567
2000,24.5662,86.3357,34.9417,27.684,4.9573
2010,21.8412,86.1034,34.9234,27.6703,4.9621
2020,22.8955,85.9656,34.936,27.6794,4.9591
2030,20.7701,85.7102,34.9387,27.6816,4.9625
2040,20.2991,85.7075,34.9208,27.6656,3.7849
2050,23.8133,85.7261,34.8612,27.6122,3.7109
2060,21.0933,85.6395,34.8623,27.6166,3.7425
2070,21.2216,85.8022,34.8979,27.6474,3.7456
2080,21.3572,85.8591,34.9162,27.6525,3.7205
2090,22.0273,85.9579,34.9239,27.6546,3.7176
2100,24.055,85.7023,34.9255,27.6554,3.6486
2110,23.5763,85.5665,34.8814,27.6128,3.6458
2120,19.777,85.5101,34.908,27.6394,3.6392
2130,19.3555,85.4229,34.9062,27.6363,3.6394
2140,19.1654,85.2494,34.9169,27.6459,3.6408
2150,19.3817,85.2236,34.9094,27.6346,3.6459
2160,18.4143,84.9763,34.9393,27.666,3.8523
2170,22.21,84.8255,34.9246,27.6493,3.8477
2180,18.2531,84.8275,34.9175,27.6423,3.8484
2190,17.9909,84.7623,34.9203,27.6446,3.8484
2200,17.2938,84.6762,34.9244,27.6501,3.8486
2210,17.4507,84.7085,34.9245,27.6502,3.8486
2220,18.0919,84.6389,34.9342,27.6545,3.8414
2230,19.2047,84.626,34.956,27.671,3.8454
2240,19.3106,84.5725,34.9294,27.6472,3.8416
2250,23.3268,84.8605,34.9168,27.6416,3.8707
2260,23.6384,85.0108,34.921,27.6325,3.8163
2270,23.0673,84.9375,34.8974,27.622,3.8566
2280,21.5903,85.0691,34.9083,27.6318,6.5077
2290,21.1146,85.0431,34.9025,27.6409,6.5163
2300,18.1952,84.9543,34.9069,27.6412,6.5125
2310,19.3599,84.7542,34.9031,27.6369,6.5127
2320,20.9529,84.6843,34.89,27.6357,6.5273
2330,19.6022,84.5927,34.8834,27.6327,6.5089
2340,18.5689,84.7239,34.8918,27.6532,3.8258
2350,21.3947,84.768,34.871,27.6163,3.8339
2360,20.3617,84.9341,34.8775,27.6141,3.8122
2370,21.5374,85.0437,34.8896,27.6259,3.8272
2380,20.4453,84.9774,34.8702,27.6109,3.8301
2390,19.1554,85.1665,34.8821,27.6207,3.8349
2400,23.0075,85.2697,34.8916,27.6299,3.7463
2410,26.9002,85.4896,34.8847,27.626,3.7378
2420,22.6977,85.5805,34.8848,27.6276,3.7405
2430,20.9628,85.749,34.8832,27.6257,3.7397
2440,23.4052,86.2422,34.8815,27.6249,3.742
2450,23.1505,86.6622,34.8807,27.6244,3.7423
2460,23.3705,86.9808,34.8673,27.6182,3.6642
2470,30.1013,87.2617,34.8536,27.6019,3.6637
2480,29.2887,87.5788,34.8498,27.5993,3.665
2490,30.7065,87.7538,34.8479,27.598,3.6716
2500,30.2706,87.7006,34.8589,27.6096,3.6686
2510,27.5909,87.4443,34.8484,27.599,3.618
2520,26.409,87.2477,34.8386,27.5934,4.6918
2530,27.2514,86.9014,34.8052,27.5629,4.6738
2540,24.7402,86.873,34.8567,27.6116,4.6616
2550,24.0672,86.9572,34.8492,27.5979,4.6745
2560,25.364,87.0518,34.8502,27.6024,4.6739
2570,23.7978,87.1046,34.8501,27.6029,4.677
2580,25.7606,87.2917,34.8481,27.6011,5.2514
2590,27.6932,87.3669,34.85,27.602,5.2514
2600,25.4584,87.3881,34.8272,27.5876,5.2592
2610,24.5536,87.4593,34.8503,27.6022,5.2514
2620,25.5037,87.4838,34.8455,27.5957,5.2514
2630,27.7262,87.5079,34.8487,27.6002,5.2544
2640,25.7707,86.8516,34.8469,27.5972,6.0051
2650,27.2284,86.4059,34.8482,27.5979,6.0042
2660,25.1826,86.1951,34.8639,27.608,6.0014
2670,24.0642,86.0442,34.831,27.5788,5.9777
2680,23.3418,86.0136,34.864,27.6118,5.9955
2690,22.4446,86.009,34.8546,27.5928,5.9919
2700,24.2701,86.0352,34.8507,27.5885,6.3904
2710,28.7014,86.0755,34.8283,27.5691,6.4014
2720,25.2367,86.1956,34.8537,27.6072,6.4365
2730,25.1611,86.3587,34.9276,27.6669,6.3788
2740,25.3954,86.236,34.8533,27.6088,6.3741
2750,24.1183,86.0648,34.857,27.6112,6.3744
2760,23.2001,85.9063,34.8627,27.6141,6.2547
2770,25.0368,85.9029,34.8598,27.6158,6.2523
2780,24.4514,85.8937,34.8589,27.6159,6.246
2790,23.7222,85.8202,34.8593,27.6133,6.2492
2800,24.0259,85.6741,34.8594,27.6134,6.2492
